id,item_group_id,title,description,link,image_link,price,availability
SKU-001-BLK-S,PROD-001,Classic Cotton Tee - Black Small,"Everyday essential crew-neck tee made from 100% combed cotton. Pre-shrunk, machine washable. Available in multiple colors and sizes.",https://sandbox.example.com/products/classic-tee-black-s,https://sandbox.example.com/images/classic-tee-black.jpg,24.99 USD,in_stock
SKU-001-BLK-M,PROD-001,Classic Cotton Tee - Black Medium,"Everyday essential crew-neck tee made from 100% combed cotton. Pre-shrunk, machine washable. Available in multiple colors and sizes.",https://sandbox.example.com/products/classic-tee-black-m,https://sandbox.example.com/images/classic-tee-black.jpg,24.99 USD,in_stock
SKU-001-BLK-L,PROD-001,Classic Cotton Tee - Black Large,"Everyday essential crew-neck tee made from 100% combed cotton. Pre-shrunk, machine washable. Available in multiple colors and sizes.",https://sandbox.example.com/products/classic-tee-black-l,https://sandbox.example.com/images/classic-tee-black.jpg,24.99 USD,out_of_stock
SKU-001-WHT-S,PROD-001,Classic Cotton Tee - White Small,"Everyday essential crew-neck tee made from 100% combed cotton. Pre-shrunk, machine washable. Available in multiple colors and sizes.",https://sandbox.example.com/products/classic-tee-white-s,https://sandbox.example.com/images/classic-tee-white.jpg,24.99 USD,in_stock
SKU-001-WHT-M,PROD-001,Classic Cotton Tee - White Medium,"Everyday essential crew-neck tee made from 100% combed cotton. Pre-shrunk, machine washable. Available in multiple colors and sizes.",https://sandbox.example.com/products/classic-tee-white-m,https://sandbox.example.com/images/classic-tee-white.jpg,24.99 USD,in_stock
SKU-002-ONE,PROD-002,Leather Bifold Wallet,"Slim full-grain leather bifold wallet with 6 card slots, 2 bill compartments, and RFID blocking lining. Available in brown and black.",https://sandbox.example.com/products/leather-bifold-wallet,https://sandbox.example.com/images/leather-wallet.jpg,49.99 USD,in_stock
SKU-003-32,PROD-003,Slim Fit Chinos - Khaki 32x30,"Stretch-cotton slim fit chinos with a mid-rise waist. Wrinkle-resistant finish. Machine wash cold.",https://sandbox.example.com/products/chinos-khaki-32x30,https://sandbox.example.com/images/chinos-khaki.jpg,69.99 USD,in_stock
SKU-003-34,PROD-003,Slim Fit Chinos - Khaki 34x30,"Stretch-cotton slim fit chinos with a mid-rise waist. Wrinkle-resistant finish. Machine wash cold.",https://sandbox.example.com/products/chinos-khaki-34x30,https://sandbox.example.com/images/chinos-khaki.jpg,69.99 USD,in_stock
SKU-003-36,PROD-003,Slim Fit Chinos - Khaki 36x32,"Stretch-cotton slim fit chinos with a mid-rise waist. Wrinkle-resistant finish. Machine wash cold.",https://sandbox.example.com/products/chinos-khaki-36x32,https://sandbox.example.com/images/chinos-khaki.jpg,69.99 USD,backorder
SKU-004-ONE,PROD-004,Canvas Weekender Bag,"Waxed canvas weekender duffel with full-grain leather handles and detachable shoulder strap. Fits carry-on overhead. Approx 40L capacity.",https://sandbox.example.com/products/canvas-weekender,https://sandbox.example.com/images/weekender-bag.jpg,149.99 USD,in_stock
SKU-005-BLK,PROD-005,Running Cap - Black,"Lightweight moisture-wicking running cap with reflective trim and adjustable snapback closure. One size fits most.",https://sandbox.example.com/products/running-cap-black,https://sandbox.example.com/images/running-cap-black.jpg,29.99 USD,in_stock
SKU-005-NVY,PROD-005,Running Cap - Navy,"Lightweight moisture-wicking running cap with reflective trim and adjustable snapback closure. One size fits most.",https://sandbox.example.com/products/running-cap-navy,https://sandbox.example.com/images/running-cap-navy.jpg,29.99 USD,in_stock
SKU-006-ONE,PROD-006,Merino Wool Crew Socks 3-Pack,"Ultra-soft merino wool blend crew socks with reinforced heel and toe. Naturally odor-resistant. One size fits US 7-12.",https://sandbox.example.com/products/merino-socks-3pk,https://sandbox.example.com/images/merino-socks.jpg,34.99 USD,in_stock
SKU-007-SM,PROD-007,Insulated Water Bottle 20oz,"Double-wall vacuum insulated stainless steel bottle. Keeps drinks cold 24hrs, hot 12hrs. BPA-free, leak-proof lid.",https://sandbox.example.com/products/water-bottle-20oz,https://sandbox.example.com/images/water-bottle.jpg,39.99 USD,in_stock
SKU-007-LG,PROD-007,Insulated Water Bottle 32oz,"Double-wall vacuum insulated stainless steel bottle. Keeps drinks cold 24hrs, hot 12hrs. BPA-free, leak-proof lid.",https://sandbox.example.com/products/water-bottle-32oz,https://sandbox.example.com/images/water-bottle-lg.jpg,44.99 USD,in_stock
SKU-008-ONE,PROD-008,Pique Polo Shirt - Navy M,"Classic fit men's pique polo with embroidered logo on left chest. 100% organic cotton. Machine wash cold; imported.",https://sandbox.example.com/products/polo-navy-m,https://sandbox.example.com/images/polo-navy.jpg,59.99 USD,preorder
SKU-009-ONE,PROD-009,Wireless Charging Pad,"10W fast wireless charging pad compatible with Qi-enabled devices. Non-slip base, LED indicator, USB-C input. Cable included.",https://sandbox.example.com/products/wireless-charger,https://sandbox.example.com/images/wireless-charger.jpg,34.99 USD,in_stock
SKU-010-ONE,PROD-010,Scented Soy Candle - Cedar & Sage,"Hand-poured 8oz soy wax candle with wooden wick. Cedar and sage fragrance. Approx 50hr burn time. Reusable glass jar.",https://sandbox.example.com/products/candle-cedar-sage,https://sandbox.example.com/images/candle-cedar-sage.jpg,22.99 USD,in_stock
